"Name","Symbol","Last","Chg. %","Market Cap","Vol."
"Apple","AAPL","121.21","0.51%","2.03T","94.07M"
"Microsoft","MSFT","236.48","1.78%","1.78T","25.48M"
"Amazon.com","AMZN","3.05K","0.19%","1.54T","3.31M"
"Alphabet C","GOOG","2.04K","-0.43%","1.37T","1.49M"
"Alphabet A","GOOGL","2.02K","-0.38%","1.36T","1.40M"
"Magnolia Oil","MGY","11.92","5.21%","1.02T","2.25M"
"Facebook","FB","283.02","1.54%","805.95B","17.63M"
"Tencent Holdings","TCTZF","80.40","3.78%","765.59B","85.75K"
"Tencent ADR","TCEHY","80.98","4.60%","765.59B","5.92M"
"Alibaba ADR","BABA","227.26","2.04%","614.88B","22.03M"
"Berkshire Hathaway B","BRKb","256.77","2.40%","595.94B","5.80M"
"Berkshire Hathaway","BRKa","388.00K","2.45%","595.94B","1.48K"
"Tesla","TSLA","618.71","-3.39%","593.87B","33.85M"
"Taiwan Semiconductor","TSM","116.56","5.53%","534.70B","12.91M"
"JPMorgan","JPM","155.09","1.67%","473.26B","16.75M"
"JPMorgan Chase & Co Pg ADR","JPM_pg","25.50","-0.10%","473.26B","42.08K"
"JPMorgan Chase & Co Ph ADR","JPM_ph","25.56","0.04%","473.26B","72.07K"
"JPMorgan Chase Pref EE","JPM_pc","27.60","0.04%","473.26B","71.94K"
"J&J","JNJ","164.93","1.83%","433.55B","7.62M"
"Visa A","V","213.53","2.67%","423.72B","7.40M"
"Walmart","WMT","135.13","0.84%","380.67B","9.55M"
"Mastercard","MA","366.14","2.17%","364.33B","2.74M"
"UnitedHealth","UNH","376.48","1.45%","355.89B","2.96M"
"Walt Disney","DIS","185.92","-0.53%","337.49B","10.20M"
"Bank of America Corp Pe ADR","BAC_pe","25.36","-0.12%","333.70B","6.02K"
"Bank of America Corp Pl Pref","BAC_pl","1.41K","-0.07%","333.70B","3.10K"
"Bank of America Corp Pl ADR","BML_pl","25.02","-0.38%","333.70B","22.71K"
"Bank of America Pm","BAC_pm","27.14","-0.18%","333.70B","41.59K"
"Bank of America","BAC","38.68","2.71%","333.70B","66.85M"
"Bank of America Corp Pg ADR","BML_pg","21.75","0.05%","333.70B","9.76K"
"Bank of America Corp Ph ADR","BML_ph","21.62","-0.23%","333.70B","16.54K"
"Bank of America Corp Pj ADR","BML_pj","25.40","-0.47%","333.70B","6.46K"
"Procter&Gamble","PG","135.45","1.48%","333.54B","10.82M"
"Louis Vuitton ADR","LVMUY","131.95","-0.17%","329.66B","102.24K"
"Home Depot","HD","303.81","2.23%","327.22B","5.87M"
"NVIDIA","NVDA","513.57","2.43%","318.41B","9.10M"
"Nestle ADR","NSRGY","111.50","-0.15%","312.28B","409.33K"
"Nestle","NSRGF","110.81","-0.61%","312.28B","29.75K"
"Samsung Electronics Co","SSNLF","2.21K","0.00%","294.11B","0.00"
"Industrial Commercial Bank of China","IDCBY","13.97","1.35%","291.55B","40.95K"
"Roche Holding ADR","RHHBY","40.45","-0.49%","288.85B","2.39M"
"Roche Holding Participation","RHHVF","320.51","-2.01%","288.85B","173.00"
"PayPal Holdings Inc","PYPL","241.03","2.90%","282.29B","8.22M"
"China Construction Bank","CICHF","0.84","1.21%","271.03B","700.00"
"China Construction Bank Corp","CICHY","16.69","2.27%","271.03B","48.20K"
"Intel","INTC","64.87","4.60%","263.57B","34.71M"
"ASML Holding","ASMLF","620.50","6.08%","253.83B","702.00"
"ASML  ADR","ASML","625.67","7.14%","253.83B","1.93M"
"Comcast","CMCSA","55.18","-1.99%","252.76B","24.13M"
"ICBC","IDCBF","0.67","0.00%","249.53B","0.00"
